metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
ap,AP / MAP,bge_m3_hybrid_315,14977,0.5692435844250467,0.5,0.4482041279138827,0.5620648707896275,0.576422298060466,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_414,14977,0.5301811621501727,0.5,0.44364837966592385,0.5230754161873614,0.5372869081129841,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_424,14977,0.5201053960951921,0.5,0.4430561130025029,0.513009136240401,0.5272016559499832,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_513,14977,0.5688259552934072,0.5,0.4476977278011293,0.561655352474395,0.5759965581124193,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_513_tk1000,14977,0.5692754290195144,0.5,0.4471318295491596,0.5621138899757883,0.5764369680632406,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_513_tk500,14977,0.5692389085316284,0.5,0.44717826163479735,0.5620766258029928,0.576401191260264,0.0,1.0
ap,AP / MAP,bge_m3_hybrid_514,14977,0.5273459423488923,0.5,0.44346112017836326,0.5202431956494813,0.5344486890483033,0.0,1.0
ap,AP / MAP,reranked_results,14977,0.6592271648908492,1.0,0.4324900577996494,0.6523001374902757,0.6661541922914227,0.0,1.0
ap,AP / MAP,nemotron_topk400,14977,0.7023710699220097,1.0,0.4107413902998358,0.6957923825884048,0.7089497572556146,0.0,1.0
ap,AP / MAP,rer_bge_m3_hybrid_513_nemotron,14977,0.6909108949685536,1.0,0.421064069110294,0.6841668732470759,0.6976549166900313,0.0,1.0
ap,AP / MAP,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.7111067529060902,1.0,0.4076670688271078,0.7045773058005453,0.717636200011635,0.0,1.0
ap,AP / MAP,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7096424627570486,1.0,0.40939764545796753,0.7030852976692644,0.7161996278448327,0.0,1.0
