metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
mrr5,MRR@5,bge_m3_hybrid_315,14977,0.5571787852484922,0.5,0.46181150748409094,0.549782127432778,0.5645754430642064,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_414,14977,0.5171117936391356,0.5,0.4573831796365767,0.5097860626523398,0.5244375246259314,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_424,14977,0.5066824686741893,0.5,0.4568641327399542,0.4993650510624879,0.5139998862858907,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_513,14977,0.5567091762925375,0.5,0.4613733040388803,0.549319537013359,0.5640988155717159,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_513_tk1000,14977,0.5567091762925375,0.5,0.4613733040388803,0.549319537013359,0.5640988155717159,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_513_tk500,14977,0.5567091762925375,0.5,0.4613733040388803,0.549319537013359,0.5640988155717159,0.0,1.0
mrr5,MRR@5,bge_m3_hybrid_514,14977,0.5140815917740535,0.5,0.45732042739231166,0.5067568658658893,0.5214063176822178,0.0,1.0
mrr5,MRR@5,reranked_results,14977,0.6509970844183304,1.0,0.44380764502472675,0.6438887875633437,0.6581053812733171,0.0,1.0
mrr5,MRR@5,nemotron_topk400,14977,0.6936847610780976,1.0,0.42413413183596976,0.6868915673392783,0.700477954816917,0.0,1.0
mrr5,MRR@5,rer_bge_m3_hybrid_513_nemotron,14977,0.684675391155327,1.0,0.43032059709233406,0.6777831111749382,0.6915676711357159,0.0,1.0
mrr5,MRR@5,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.7018061026907926,1.0,0.4223210337268364,0.6950419486490839,0.7085702567325013,0.0,1.0
mrr5,MRR@5,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.7010282433064031,1.0,0.42290304847235677,0.6942547673577117,0.7078017192550945,0.0,1.0
