metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.035212047842706325,0.0,-0.038940575958750445,-0.031483519726662204,1170,2241,11566,15426714.0,8.141084687609683e-77,1.383984396893646e-75,True
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.04519612734862763,0.0,-0.049114492430136845,-0.04127776226711841,1129,2472,11376,14757722.0,3.216348864994339e-113,8.36250704898528e-112,True
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_513,-3.468214812130679e-05,0.0,-0.0012288113956145158,0.0011594470993719023,464,473,14040,6733511.0,0.7733799276627887,1.0,False
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,-3.468214812130679e-05,0.0,-0.0012288113956145158,0.0011594470993719023,464,473,14040,6733511.0,0.7733799276627887,1.0,False
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,-3.468214812130679e-05,0.0,-0.0012288113956145158,0.0011594470993719023,464,473,14040,6733511.0,0.7733799276627887,1.0,False
ndcg5,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.03819478860921534,0.0,-0.04188479596458302,-0.034504781253847656,1112,2274,11591,14663365.0,1.0191548256809496e-90,2.242140616498089e-89,True
ndcg5,bge_m3_hybrid_315,reranked_results,0.09111955205816202,0.0,0.08613681490456776,0.09610228921175629,3103,1039,10835,12920329.0,2.016696198392077e-240,6.453427834854646e-239,True
ndcg5,bge_m3_hybrid_315,nemotron_topk400,0.13528442065381668,0.0,0.13013191676609648,0.1404369245415369,3708,594,10675,7178070.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.12487082245527135,0.0,0.11992634542333139,0.12981529948721132,3467,556,10954,6812978.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1424860008962262,0.0,0.13720506511368769,0.14776693667876473,3931,662,10384,7865105.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.14158782751931473,0.0,0.13633480897389547,0.146840846064734,3896,649,10432,7723445.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.00998407950592131,0.0,-0.012004075459565416,-0.007964083552277203,739,1140,13098,10341047.5,8.547805443357644e-21,1.2821708165036468e-19,True
ndcg5,bge_m3_hybrid_414,bge_m3_hybrid_513,0.03517736569458501,0.0,0.03147517741950474,0.038879553969665276,2239,1165,11573,15359608.5,1.7337435575947377e-77,3.4674871151894755e-76,True
ndcg5,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.03517736569458501,0.0,0.03147517741950474,0.038879553969665276,2239,1165,11573,15359608.5,1.7337435575947377e-77,3.4674871151894755e-76,True
ndcg5,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.03517736569458501,0.0,0.03147517741950474,0.038879553969665276,2239,1165,11573,15359608.5,1.7337435575947377e-77,3.4674871151894755e-76,True
ndcg5,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.002982740766509014,0.0,-0.004077433353694021,-0.001888048179324007,318,433,14226,4634469.5,2.227522194421694e-05,0.00020047699749795248,True
ndcg5,bge_m3_hybrid_414,reranked_results,0.1263315999008683,0.0,0.12100129534725937,0.13166190445447726,3851,961,10165,11439321.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_414,nemotron_topk400,0.17049646849652303,0.0,0.16496872857680503,0.17602420841624103,4527,616,9834,7034190.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.1600828702979777,0.0,0.154724068313435,0.16544167228252038,4289,584,10104,6767765.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.17769804873893252,0.0,0.17208206103880058,0.18331403643906446,4720,621,9636,7044627.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.17679987536202108,0.0,0.171210964456083,0.18238878626795915,4687,608,9682,6903233.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_424,bge_m3_hybrid_513,0.04516144520050633,0.0,0.04125887395690862,0.04906401644410403,2488,1134,11355,14798575.0,1.0882539265653726e-114,3.155936387039581e-113,True
ndcg5,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.04516144520050633,0.0,0.04125887395690862,0.04906401644410403,2488,1134,11355,14798575.0,1.0882539265653726e-114,3.155936387039581e-113,True
ndcg5,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.04516144520050633,0.0,0.04125887395690862,0.04906401644410403,2488,1134,11355,14798575.0,1.0882539265653726e-114,3.155936387039581e-113,True
ndcg5,bge_m3_hybrid_424,bge_m3_hybrid_514,0.007001338739412297,0.0,0.005077890740709967,0.008924786738114627,1044,776,13157,10882570.0,1.6547832819779724e-10,2.151218266571364e-09,True
ndcg5,bge_m3_hybrid_424,reranked_results,0.13631567940678965,0.0,0.1308587351580996,0.1417726236554797,4050,951,9976,11183275.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_424,nemotron_topk400,0.18048054800244434,0.0,0.17482498678565234,0.18613610921923635,4736,611,9630,6916898.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.170066949803899,0.0,0.1645690320436857,0.1755648675641123,4503,585,9889,6718834.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.18768212824485386,0.0,0.1819541386717119,0.19341011781799583,4907,606,9464,6814787.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.1867839548679424,0.0,0.1810809223566072,0.19248698737927758,4873,594,9510,6678787.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
ndcg5,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
ndcg5,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.03816010646109403,0.0,-0.04182917989966364,-0.03449103302252442,1096,2265,11616,14463614.0,1.7996798371737738e-92,4.4991995929344345e-91,True
ndcg5,bge_m3_hybrid_513,reranked_results,0.09115423420628332,0.0,0.08615861496597477,0.09614985344659188,3121,1045,10811,12995776.5,2.4373706366689445e-241,8.530797228341306e-240,True
ndcg5,bge_m3_hybrid_513,nemotron_topk400,0.135319102801938,0.0,0.13016779459784494,0.14047041100603108,3703,581,10693,7034755.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.12490550460339266,0.0,0.11996775946338839,0.12984324974339692,3458,542,10977,6654684.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1425206830443475,0.0,0.1372322604623001,0.1478091056263949,3952,667,10358,7923761.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.14162250966743606,0.0,0.13636106974089782,0.1468839495939743,3919,662,10396,7866971.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
ndcg5,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.03816010646109403,0.0,-0.04182917989966364,-0.03449103302252442,1096,2265,11616,14463614.0,1.7996798371737738e-92,4.4991995929344345e-91,True
ndcg5,bge_m3_hybrid_513_tk1000,reranked_results,0.09115423420628332,0.0,0.08615861496597477,0.09614985344659188,3121,1045,10811,12995776.5,2.4373706366689445e-241,8.530797228341306e-240,True
ndcg5,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.135319102801938,0.0,0.13016779459784494,0.14047041100603108,3703,581,10693,7034755.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.12490550460339266,0.0,0.11996775946338839,0.12984324974339692,3458,542,10977,6654684.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1425206830443475,0.0,0.1372322604623001,0.1478091056263949,3952,667,10358,7923761.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk500,0.14162250966743606,0.0,0.13636106974089782,0.1468839495939743,3919,662,10396,7866971.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk500,bge_m3_hybrid_514,-0.03816010646109403,0.0,-0.04182917989966364,-0.03449103302252442,1096,2265,11616,14463614.0,1.7996798371737738e-92,4.4991995929344345e-91,True
ndcg5,bge_m3_hybrid_513_tk500,reranked_results,0.09115423420628332,0.0,0.08615861496597477,0.09614985344659188,3121,1045,10811,12995776.5,2.4373706366689445e-241,8.530797228341306e-240,True
ndcg5,bge_m3_hybrid_513_tk500,nemotron_topk400,0.135319102801938,0.0,0.13016779459784494,0.14047041100603108,3703,581,10693,7034755.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron,0.12490550460339266,0.0,0.11996775946338839,0.12984324974339692,3458,542,10977,6654684.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk1000,0.1425206830443475,0.0,0.1372322604623001,0.1478091056263949,3952,667,10358,7923761.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_513_tk500,rer_bge_m3_hybrid_513_nemotron_tk500,0.14162250966743606,0.0,0.13636106974089782,0.1468839495939743,3919,662,10396,7866971.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_514,reranked_results,0.12931434066737735,0.0,0.12393979852280017,0.1346888828119545,3901,964,10112,11421363.0,0.0,0.0,True
ndcg5,bge_m3_hybrid_514,nemotron_topk400,0.17347920926303204,0.0,0.1679174165646815,0.17904100196138256,4574,594,9809,6780248.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron,0.16306561106448672,0.0,0.15767157003354593,0.16845965209542751,4338,560,10079,6488923.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk1000,0.18068078950544153,0.0,0.17502283284304004,0.18633874616784302,4771,616,9590,6962051.5,0.0,0.0,True
ndcg5,bge_m3_hybrid_514,rer_bge_m3_hybrid_513_nemotron_tk500,0.17978261612853008,0.0,0.1741505120164007,0.18541472024065947,4738,602,9637,6814087.0,0.0,0.0,True
ndcg5,reranked_results,nemotron_topk400,0.04416486859565469,0.0,0.03997922653730389,0.04835051065400549,2246,1161,11570,15159113.0,4.640644738870725e-82,9.745353951628523e-81,True
ndcg5,reranked_results,rer_bge_m3_hybrid_513_nemotron,0.03375127039710935,0.0,0.029962985909353337,0.03753955488486537,2004,1085,11888,14424427.5,4.328977060043814e-64,6.926363296070103e-63,True
ndcg5,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk1000,0.051366448838064196,0.0,0.047153243144456417,0.055579654531671976,2349,1032,11596,13508331.0,3.11880984129592e-118,9.668310508017352e-117,True
ndcg5,reranked_results,rer_bge_m3_hybrid_513_nemotron_tk500,0.05046827546115273,0.0,0.04631541234779875,0.054621138574506706,2312,1007,11658,13214503.5,3.9435610939840444e-118,1.1830683281952134e-116,True
ndcg5,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron,-0.01041359819854534,0.0,-0.01251790223526202,-0.008309294161828658,429,438,14110,6176752.0,0.5498158386983432,1.0,False
ndcg5,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk1000,0.007201580242409507,0.0,0.005662138401178629,0.008741022083640386,404,277,14296,4031847.5,6.209369208080062e-07,6.209369208080062e-06,True
ndcg5,nemotron_topk400,rer_bge_m3_hybrid_513_nemotron_tk500,0.006303406865498042,0.0,0.004899208186785792,0.0077076055442102925,460,279,14238,4060291.5,1.6413401728103636e-11,2.297876241934509e-10,True
ndcg5,rer_bge_m3_hybrid_513_nemotron,rer_bge_m3_hybrid_513_nemotron_tk1000,0.017615178440954848,0.0,0.01505047676095466,0.020179880120955035,807,602,13568,8470724.0,3.3589722425271332e-09,4.03076669103256e-08,True
