metric,group1,group2,mean_diff_group2_minus_group1,median_diff_group2_minus_group1,ci_low,ci_high,wins_group2,losses_group2,ties,wilcoxon_statistic,p_value,p_holm,reject_holm
precision10,bge_m3_hybrid_315,bge_m3_hybrid_414,-0.001595780196300995,0.0,-0.0020217305615451374,-0.0011698298310568525,412,651,13914,5951752.0,2.293629160889933e-13,2.981717909156913e-12,True
precision10,bge_m3_hybrid_315,bge_m3_hybrid_424,-0.0021366094678507046,0.0,-0.002579896879677067,-0.0016933220560243422,417,737,13823,6005008.5,4.5144495529669016e-21,9.480344061230493e-20,True
precision10,bge_m3_hybrid_315,bge_m3_hybrid_513,0.00012018428256660213,0.0,-5.925883159956831e-05,0.00029962739673277257,103,85,14789,1265097.5,0.18925543169201764,1.0,False
precision10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk1000,0.00012686118715363558,0.0,-5.305741514491979e-05,0.000306779789452191,104,85,14788,1265055.0,0.16695738144421524,1.0,False
precision10,bge_m3_hybrid_315,bge_m3_hybrid_513_tk500,0.00012686118715363558,0.0,-5.305741514491979e-05,0.000306779789452191,104,85,14788,1265055.0,0.16695738144421524,1.0,False
precision10,bge_m3_hybrid_315,bge_m3_hybrid_514,-0.001742672097215731,0.0,-0.0021664585411008755,-0.0013188856533305866,396,657,13924,5722596.0,8.755600710194122e-16,1.4884521207330006e-14,True
precision10,bge_m3_hybrid_315,reranked_results,0.0070775188622554585,0.0,0.006551229056931017,0.0076038086675799,1376,316,13285,4465554.0,1.950028785468108e-146,6.825100749138378e-145,True
precision10,bge_m3_hybrid_315,nemotron_topk400,0.012205381585097149,0.0,0.011632958205627039,0.01277780496456726,1982,154,12841,2142063.0,0.0,0.0,True
precision10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron,0.009801695933765108,0.0,0.009282429137931167,0.010320962729599049,1593,125,13259,1764812.5,9.27534596739341e-275,3.895645306305232e-273,True
precision10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk1000,0.012792949188756094,0.0,0.012204006184054792,0.013381892193457395,2093,177,12707,2450122.5,0.0,0.0,True
precision10,bge_m3_hybrid_315,rer_bge_m3_hybrid_513_nemotron_tk500,0.012512519196100687,0.0,0.011931389662307546,0.013093648729893829,2040,166,12771,2303167.0,0.0,0.0,True
precision10,bge_m3_hybrid_414,bge_m3_hybrid_424,-0.0005408292715497095,0.0,-0.0008027728137879155,-0.00027888572931150353,160,241,14576,2364320.0,5.2334968698810407e-05,0.0005233496869881041,True
precision10,bge_m3_hybrid_414,bge_m3_hybrid_513,0.0017159644788675972,0.0,0.001290939279123809,0.0021409896786113857,658,401,13918,5793648.0,2.8473946160727387e-15,3.986352462501834e-14,True
precision10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk1000,0.0017226413834546305,0.0,0.0012974216453753254,0.0021478611215339357,659,401,13917,5793447.5,2.292376273794948e-15,3.667802038071917e-14,True
precision10,bge_m3_hybrid_414,bge_m3_hybrid_513_tk500,0.0017226413834546305,0.0,0.0012974216453753254,0.0021478611215339357,659,401,13917,5793447.5,2.292376273794948e-15,3.667802038071917e-14,True
precision10,bge_m3_hybrid_414,bge_m3_hybrid_514,-0.00014689190091473595,0.0,-0.0003028355203819161,9.051718552444208e-06,60,82,14835,894390.0,0.06486331782204678,0.45404322475432746,False
precision10,bge_m3_hybrid_414,reranked_results,0.008673299058556454,0.0,0.008113975714759436,0.009232622402353471,1619,320,13038,4482560.0,2.889186689912821e-191,1.0401072083686157e-189,True
precision10,bge_m3_hybrid_414,nemotron_topk400,0.013801161781398145,0.0,0.013200577166953368,0.014401746395842923,2229,162,12586,2232684.0,0.0,0.0,True
precision10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron,0.011397476130066102,0.0,0.010843984999330777,0.011950967260801427,1845,138,12994,1930068.0,0.0,0.0,True
precision10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk1000,0.014388729385057088,0.0,0.013773604724202814,0.015003854045911362,2337,182,12458,2496676.0,0.0,0.0,True
precision10,bge_m3_hybrid_414,rer_bge_m3_hybrid_513_nemotron_tk500,0.014108299392401684,0.0,0.013500462543813969,0.014716136240989398,2284,171,12522,2351250.0,0.0,0.0,True
precision10,bge_m3_hybrid_424,bge_m3_hybrid_513,0.002256793750417307,0.0,0.0018098103333885121,0.0027037771674461013,756,418,13803,6015229.0,5.922767467037268e-23,1.3030088427481989e-21,True
precision10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk1000,0.00226347065500434,0.0,0.001816304324091224,0.0027106369859174555,757,418,13802,6015020.0,4.616555352584955e-23,1.1079732846203891e-21,True
precision10,bge_m3_hybrid_424,bge_m3_hybrid_513_tk500,0.00226347065500434,0.0,0.001816304324091224,0.0027106369859174555,757,418,13802,6015020.0,4.616555352584955e-23,1.1079732846203891e-21,True
precision10,bge_m3_hybrid_424,bge_m3_hybrid_514,0.00039393737063497363,0.0,0.0001392195915250099,0.0006486551497449373,219,160,14598,2366080.0,0.0024404698759969774,0.021930613280901085,True
precision10,bge_m3_hybrid_424,reranked_results,0.009214128330106163,0.0,0.008643809615875181,0.009784447044337145,1703,323,12951,4510533.5,1.998943916360698e-206,7.595986882170653e-205,True
precision10,bge_m3_hybrid_424,nemotron_topk400,0.014341991052947855,0.0,0.013731476917228638,0.014952505188667071,2316,168,12493,2307564.0,0.0,0.0,True
precision10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron,0.011938305401615812,0.0,0.01137195035748673,0.012504660445744893,1937,149,12891,2076240.5,0.0,0.0,True
precision10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk1000,0.0149295586566068,0.0,0.014305414644062379,0.01555370266915122,2422,186,12369,2543271.0,0.0,0.0,True
precision10,bge_m3_hybrid_424,rer_bge_m3_hybrid_513_nemotron_tk500,0.014649128663951393,0.0,0.014032102851343155,0.01526615447655963,2369,175,12433,2398462.5,0.0,0.0,True
precision10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk1000,6.676904587033452e-06,0.0,-6.410645669951433e-06,1.9764454844018338e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
precision10,bge_m3_hybrid_513,bge_m3_hybrid_513_tk500,6.676904587033452e-06,0.0,-6.410645669951433e-06,1.9764454844018338e-05,1,0,14976,0.0,0.31731050786291415,1.0,False
precision10,bge_m3_hybrid_513,bge_m3_hybrid_514,-0.0018628563797823332,0.0,-0.0022877228912763317,-0.0014379898682883344,390,669,13918,5634720.0,1.0041974556276684e-17,1.8075554201298032e-16,True
precision10,bge_m3_hybrid_513,reranked_results,0.006957334579688857,0.0,0.006430959136261521,0.007483710023116192,1366,324,13287,4578930.0,9.729216555904675e-142,3.3079336290075894e-140,True
precision10,bge_m3_hybrid_513,nemotron_topk400,0.012085197302530546,0.0,0.011511522601470947,0.012658872003590145,1975,165,12837,2294737.5,0.0,0.0,True
precision10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron,0.009681511651198505,0.0,0.009161008129583627,0.010202015172813383,1586,136,13255,1919844.0,1.6953944913675843e-267,6.951117414607095e-266,True
precision10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk1000,0.012672764906189491,0.0,0.012082865217777653,0.013262664594601329,2085,187,12705,2588360.5,0.0,0.0,True
precision10,bge_m3_hybrid_513,rer_bge_m3_hybrid_513_nemotron_tk500,0.012392334913534087,0.0,0.011810250708667543,0.01297441911840063,2032,176,12769,2441736.0,0.0,0.0,True
precision10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_513_tk500,0.0,0.0,0.0,0.0,0,0,14977,0.0,1.0,1.0,False
precision10,bge_m3_hybrid_513_tk1000,bge_m3_hybrid_514,-0.0018695332843693664,0.0,-0.00229459381486579,-0.0014444727538729428,390,670,13917,5634525.0,7.96247178325734e-18,1.592494356651468e-16,True
precision10,bge_m3_hybrid_513_tk1000,reranked_results,0.006950657675101823,0.0,0.006424096922097485,0.0074772184281061615,1366,325,13286,4592900.0,2.1807606565130905e-141,7.196510166493198e-140,True
precision10,bge_m3_hybrid_513_tk1000,nemotron_topk400,0.012078520397943514,0.0,0.01150495892907909,0.012652081866807937,1974,165,12838,2294820.0,0.0,0.0,True
precision10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron,0.00967483474661147,0.0,0.009154134863804519,0.010195534629418423,1586,137,13254,1933892.0,5.609562107871804e-267,2.2438248431487216e-265,True
precision10,bge_m3_hybrid_513_tk1000,rer_bge_m3_hybrid_513_nemotron_tk1000,0.012666088001602458,0.0,0.012076296723885386,0.013255879279319531,2084,187,12706,2588454.0,0.0,0.0,True
