metric,metric_label,system,queries,mean,median,std_dev,ci_low,ci_high,min,max
precision5,Precision@5,bge_m3_hybrid_315,14977,0.12978567136275623,0.2,0.09546424606091992,0.12825665714309198,0.1313146855824205,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_414,14977,0.1256459905187955,0.2,0.09665871397496995,0.12409784496461726,0.12719413607297372,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_424,14977,0.1239099953261668,0.2,0.09710273778294078,0.12235473801293457,0.12546525263939903,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513_tk1000,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_513_tk500,14977,0.13005274754623758,0.2,0.09538050006315184,0.1285250746541039,0.13158042043837126,0.0,0.2
precision5,Precision@5,bge_m3_hybrid_514,14977,0.1250717767243106,0.2,0.09680925458604514,0.12352122001889547,0.12662233342972576,0.0,0.2
precision5,Precision@5,reranked_results,14977,0.1463443947385992,0.2,0.088615582123168,0.14492507294283824,0.14776371653436016,0.0,0.2
precision5,Precision@5,nemotron_topk400,14977,0.15603926019897177,0.2,0.08282547528369368,0.15471267632401609,0.15736584407392745,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron,14977,0.15310142218067704,0.2,0.08473911972699824,0.15174418819653465,0.15445865616481944,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron_tk1000,14977,0.15696067303198238,0.2,0.08219448165741794,0.15564419553995962,0.15827715052400515,0.0,0.2
precision5,Precision@5,rer_bge_m3_hybrid_513_nemotron_tk500,14977,0.1567069506576751,0.2,0.08236974420286357,0.15538766605267318,0.158026235262677,0.0,0.2
