system,ranking_file,ranking_qids,matched_qids,coverage,split,language,stats_json
bge_m3_hybrid_315,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_315.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_315.json
bge_m3_hybrid_414,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_414.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_414.json
bge_m3_hybrid_424,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_424.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_424.json
bge_m3_hybrid_513,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_513.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_513.json
bge_m3_hybrid_513_tk1000,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_513_tk1000.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_513_tk1000.json
bge_m3_hybrid_513_tk500,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_513_tk500.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_513_tk500.json
bge_m3_hybrid_514,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/base/res_bge_m3_hybrid_514.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/bge_m3_hybrid_514.json
reranked_results,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/reranked/reranked_results.json,14977,14977,1.000000,train,,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/reranked_results.json
nemotron_topk400,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/reranked/reranked_results_nemotron_topk400.json,14977,14977,1.000000,train,,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/nemotron_topk400.json
rer_bge_m3_hybrid_513_nemotron,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/reranked/res_rer_bge_m3_hybrid_513_nemotron.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/rer_bge_m3_hybrid_513_nemotron.json
rer_bge_m3_hybrid_513_nemotron_tk1000,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/reranked/res_rer_bge_m3_hybrid_513_nemotron_tk1000.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/rer_bge_m3_hybrid_513_nemotron_tk1000.json
rer_bge_m3_hybrid_513_nemotron_tk500,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/runs/train/reranked/res_rer_bge_m3_hybrid_513_nemotron_tk500.json,14977,14977,1.000000,train,en,/Users/davidedonati/Desktop/uni/magistrale/search engines/seupd2526-retrix/results/statistics/en_train_all_systems/statistical_evaluator_json/rer_bge_m3_hybrid_513_nemotron_tk500.json
