qid,system,score,rank
0,bge_m3_hybrid_315,0.5,2
1,bge_m3_hybrid_315,0.0,-1
2,bge_m3_hybrid_315,1.0,1
5,bge_m3_hybrid_315,0.5,2
6,bge_m3_hybrid_315,1.0,1
7,bge_m3_hybrid_315,0.5,2
8,bge_m3_hybrid_315,1.0,1
9,bge_m3_hybrid_315,1.0,1
10,bge_m3_hybrid_315,0.0,29
12,bge_m3_hybrid_315,0.0,71
13,bge_m3_hybrid_315,1.0,1
14,bge_m3_hybrid_315,1.0,1
16,bge_m3_hybrid_315,1.0,1
17,bge_m3_hybrid_315,1.0,1
19,bge_m3_hybrid_315,1.0,1
21,bge_m3_hybrid_315,1.0,1
22,bge_m3_hybrid_315,1.0,1
24,bge_m3_hybrid_315,1.0,1
25,bge_m3_hybrid_315,1.0,1
26,bge_m3_hybrid_315,0.0,-1
28,bge_m3_hybrid_315,1.0,1
29,bge_m3_hybrid_315,1.0,1
30,bge_m3_hybrid_315,0.0,-1
31,bge_m3_hybrid_315,0.5,2
32,bge_m3_hybrid_315,1.0,1
33,bge_m3_hybrid_315,0.5,2
34,bge_m3_hybrid_315,0.0,-1
35,bge_m3_hybrid_315,1.0,1
36,bge_m3_hybrid_315,1.0,1
37,bge_m3_hybrid_315,0.0,8
38,bge_m3_hybrid_315,0.0,15
39,bge_m3_hybrid_315,1.0,1
40,bge_m3_hybrid_315,0.2,5
41,bge_m3_hybrid_315,0.0,17
42,bge_m3_hybrid_315,1.0,1
44,bge_m3_hybrid_315,0.0,17
45,bge_m3_hybrid_315,1.0,1
46,bge_m3_hybrid_315,0.5,2
47,bge_m3_hybrid_315,0.0,29
48,bge_m3_hybrid_315,0.5,2
49,bge_m3_hybrid_315,1.0,1
50,bge_m3_hybrid_315,1.0,1
52,bge_m3_hybrid_315,0.0,-1
53,bge_m3_hybrid_315,1.0,1
54,bge_m3_hybrid_315,1.0,1
55,bge_m3_hybrid_315,0.0,-1
56,bge_m3_hybrid_315,1.0,1
58,bge_m3_hybrid_315,1.0,1
59,bge_m3_hybrid_315,0.0,-1
60,bge_m3_hybrid_315,1.0,1
61,bge_m3_hybrid_315,1.0,1
62,bge_m3_hybrid_315,0.25,4
63,bge_m3_hybrid_315,0.0,-1
64,bge_m3_hybrid_315,1.0,1
67,bge_m3_hybrid_315,1.0,1
68,bge_m3_hybrid_315,0.5,2
69,bge_m3_hybrid_315,1.0,1
70,bge_m3_hybrid_315,0.0,-1
72,bge_m3_hybrid_315,0.5,2
73,bge_m3_hybrid_315,1.0,1
76,bge_m3_hybrid_315,0.3333333333333333,3
77,bge_m3_hybrid_315,0.0,31
80,bge_m3_hybrid_315,1.0,1
81,bge_m3_hybrid_315,1.0,1
83,bge_m3_hybrid_315,1.0,1
85,bge_m3_hybrid_315,1.0,1
86,bge_m3_hybrid_315,1.0,1
87,bge_m3_hybrid_315,0.5,2
89,bge_m3_hybrid_315,1.0,1
91,bge_m3_hybrid_315,0.0,13
92,bge_m3_hybrid_315,1.0,1
93,bge_m3_hybrid_315,0.0,-1
94,bge_m3_hybrid_315,1.0,1
96,bge_m3_hybrid_315,1.0,1
98,bge_m3_hybrid_315,1.0,1
100,bge_m3_hybrid_315,0.0,9
101,bge_m3_hybrid_315,1.0,1
103,bge_m3_hybrid_315,0.0,8
104,bge_m3_hybrid_315,0.0,-1
108,bge_m3_hybrid_315,1.0,1
109,bge_m3_hybrid_315,1.0,1
110,bge_m3_hybrid_315,0.0,18
112,bge_m3_hybrid_315,1.0,1
113,bge_m3_hybrid_315,1.0,1
115,bge_m3_hybrid_315,1.0,1
117,bge_m3_hybrid_315,1.0,1
118,bge_m3_hybrid_315,1.0,1
119,bge_m3_hybrid_315,1.0,1
120,bge_m3_hybrid_315,0.0,-1
121,bge_m3_hybrid_315,0.3333333333333333,3
123,bge_m3_hybrid_315,0.0,9
126,bge_m3_hybrid_315,1.0,1
129,bge_m3_hybrid_315,1.0,1
130,bge_m3_hybrid_315,0.25,4
131,bge_m3_hybrid_315,1.0,1
132,bge_m3_hybrid_315,1.0,1
133,bge_m3_hybrid_315,0.0,-1
134,bge_m3_hybrid_315,0.0,7
136,bge_m3_hybrid_315,1.0,1
139,bge_m3_hybrid_315,0.0,-1
141,bge_m3_hybrid_315,1.0,1
